,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,24,32,Bertahan,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Lembur,11,3,4,80,0,13,2,3,13,12,11,9
24,25,24,Keluar,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Lembur,16,3,1,80,1,6,2,2,2,0,2,0
27,28,39,Bertahan,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Lembur,13,3,4,80,2,21,4,3,19,9,15,2
28,29,59,Bertahan,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,Tidak Lembur,17,3,4,80,0,7,2,2,2,2,2,2
30,31,36,Bertahan,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Lembur,17,3,1,80,1,17,2,2,16,8,4,11
31,32,30,Bertahan,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,Tidak Lembur,13,3,1,80,3,10,4,2,10,7,8,9
32,33,38,Bertahan,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,Tidak Lembur,13,3,4,80,1,7,2,4,7,6,5,0
33,34,28,Keluar,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,Tidak Lembur,15,3,4,80,1,5,3,4,3,2,1,2
34,35,31,Bertahan,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Lembur,18,3,2,80,1,3,2,1,2,2,2,2
35,36,36,Bertahan,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,Tidak Lembur,15,3,2,80,0,7,6,3,1,0,0,0
36,37,32,Bertahan,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Lembur,22,4,2,80,1,9,3,3,9,8,7,8
38,39,28,Bertahan,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,Tidak Lembur,15,3,2,80,0,5,3,4,5,4,0,4
39,40,31,Keluar,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Lembur,18,3,2,80,0,12,3,2,7,7,7,7
40,41,50,Bertahan,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,Tidak Lembur,15,3,4,80,1,4,2,3,2,2,2,2
41,42,39,Bertahan,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,Tidak Lembur,17,3,1,80,3,19,5,2,18,10,3,7
42,43,35,Bertahan,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,Tidak Lembur,13,3,3,80,1,6,5,3,5,4,0,3
43,44,32,Bertahan,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,Tidak Lembur,14,3,4,80,1,10,3,3,10,8,5,3
44,45,26,Keluar,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,Tidak Lembur,20,4,3,80,1,1,0,2,1,1,0,0
45,46,30,Bertahan,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,Tidak Lembur,19,3,1,80,3,11,3,3,11,10,10,8
48,49,38,Bertahan,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,Tidak Lembur,21,4,2,80,0,10,2,3,9,7,1,8
49,50,21,Bertahan,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,Tidak Lembur,11,3,3,80,0,3,2,3,3,2,1,2
50,51,35,Bertahan,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,Y,Tidak Lembur,21,4,2,80,0,17,3,4,8,5,1,6
53,54,26,Bertahan,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,Tidak Lembur,20,4,1,80,1,6,6,1,6,5,1,4
54,55,31,Keluar,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,Lembur,13,3,3,80,1,7,2,1,2,2,2,2
56,57,32,Bertahan,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,Tidak Lembur,13,3,3,80,1,8,4,3,8,0,0,7
57,58,32,Bertahan,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,Y,Tidak Lembur,12,3,4,80,0,10,2,2,10,7,0,8
58,59,34,Bertahan,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,Tidak Lembur,12,3,3,80,1,14,3,3,7,3,5,7
59,60,33,Bertahan,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,74,3,3,Manager,2,Married,11878,23364,6,Y,Tidak Lembur,11,3,2,80,2,12,2,3,10,6,8,8
60,61,47,Bertahan,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,Tidak Lembur,13,3,3,80,3,20,2,3,5,0,0,4
62,63,30,Bertahan,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,Y,Tidak Lembur,21,4,3,80,2,7,2,3,2,2,0,2
63,64,58,Bertahan,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Lembur,20,4,2,80,1,9,3,2,1,0,0,0
64,65,37,Keluar,Travel_Rarely,625,Sales,1,4,Life Sciences,1,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,Y,Tidak Lembur,11,3,3,80,0,17,2,1,14,1,11,7
67,68,38,Bertahan,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,Y,Tidak Lembur,12,3,3,80,0,2,3,3,2,2,2,1
68,69,43,Keluar,Travel_Rarely,1372,Sales,9,3,Marketing,1,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8,Y,Tidak Lembur,13,3,2,80,0,7,2,2,4,3,1,3
70,71,52,Bertahan,Travel_Frequently,322,Research & Development,28,2,Medical,1,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Y,Lembur,11,3,2,80,1,24,3,2,5,3,0,2
72,73,44,Bertahan,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Lembur,21,4,3,80,1,9,2,2,4,3,1,3
73,74,59,Bertahan,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,Y,Tidak Lembur,17,3,1,80,1,7,6,3,1,0,0,0
76,77,42,Bertahan,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,Tidak Lembur,16,3,2,80,1,11,5,3,5,3,0,2
77,78,45,Bertahan,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,Tidak Lembur,19,3,2,80,1,9,3,4,8,7,3,7
80,81,21,Keluar,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,Y,Tidak Lembur,19,3,1,80,0,1,3,2,1,0,0,0
81,82,23,Bertahan,Travel_Rarely,885,Research & Development,4,3,Medical,1,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,Tidak Lembur,16,3,1,80,1,5,3,4,3,2,0,2
83,84,54,Bertahan,Travel_Rarely,1147,Sales,3,3,Marketing,1,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,Y,Tidak Lembur,14,3,4,80,1,16,4,3,6,2,0,5
84,85,41,Bertahan,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,Y,Tidak Lembur,13,3,3,80,0,10,3,3,10,6,0,8
85,86,45,Bertahan,Travel_Rarely,1038,Research & Development,20,3,Medical,1,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Y,Lembur,18,3,2,80,1,24,2,3,7,7,0,7
87,88,45,Bertahan,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,Y,Tidak Lembur,12,3,4,80,0,23,2,3,19,7,12,8
92,93,55,Bertahan,Travel_Rarely,111,Sales,1,2,Life Sciences,1,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,Tidak Lembur,14,3,4,80,1,24,4,3,1,0,1,0
94,95,34,Bertahan,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,Tidak Lembur,17,3,3,80,0,10,2,2,10,9,1,9
96,97,57,Bertahan,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,2,Male,93,4,2,Research Scientist,3,Married,4900,2721,0,Y,Tidak Lembur,24,4,1,80,1,13,2,2,12,9,2,8
98,99,33,Bertahan,Travel_Rarely,147,Research & Development,4,4,Medical,1,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,Y,Tidak Lembur,21,4,4,80,0,7,3,3,3,2,1,1
99,100,32,Bertahan,Non-Travel,300,Research & Development,1,3,Life Sciences,1,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,Y,Tidak Lembur,12,3,2,80,1,4,2,3,3,0,0,2
100,101,21,Keluar,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1,Female,45,2,1,Laboratory Technician,3,Single,2625,25308,1,Y,Tidak Lembur,20,4,3,80,0,2,2,1,2,2,2,2
101,102,34,Keluar,Travel_Frequently,296,Sales,6,2,Marketing,1,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,Tidak Lembur,16,3,4,80,1,3,3,2,2,2,1,0
103,104,27,Bertahan,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,Y,Tidak Lembur,14,3,4,80,0,7,2,3,7,7,0,7
105,106,36,Bertahan,Travel_Rarely,917,Research & Development,6,4,Life Sciences,1,3,Male,60,1,1,Laboratory Technician,3,Divorced,2741,6865,1,Y,Tidak Lembur,14,3,3,80,1,7,4,3,7,7,1,7
106,107,41,Keluar,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,Tidak Lembur,12,3,4,80,0,23,0,3,22,15,15,8
108,109,33,Bertahan,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,1,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,Y,Tidak Lembur,23,4,3,80,1,15,2,1,13,11,4,7
109,110,18,Keluar,Non-Travel,247,Research & Development,8,1,Medical,1,3,Male,80,3,1,Laboratory Technician,3,Single,1904,13556,1,Y,Tidak Lembur,12,3,4,80,0,0,0,3,0,0,0,0
110,111,27,Bertahan,Travel_Rarely,894,Research & Development,9,3,Medical,1,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,1,Y,Tidak Lembur,16,3,4,80,0,7,2,2,7,7,0,3
111,112,22,Bertahan,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,Y,Tidak Lembur,22,4,1,80,2,4,2,1,2,2,2,2
112,113,33,Keluar,Travel_Rarely,813,Research & Development,14,3,Medical,1,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Y,Lembur,13,3,3,80,1,8,2,1,5,4,0,4
113,114,42,Bertahan,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,Tidak Lembur,11,3,4,80,3,7,4,4,6,5,0,4
114,115,29,Bertahan,Travel_Frequently,806,Research & Development,1,4,Life Sciences,1,2,Male,76,1,1,Research Scientist,4,Divorced,2720,18959,1,Y,Tidak Lembur,18,3,4,80,1,10,5,3,10,7,2,8
116,117,35,Bertahan,Travel_Rarely,817,Research & Development,1,3,Medical,1,4,Female,60,2,2,Laboratory Technician,4,Married,5363,10846,0,Y,Tidak Lembur,12,3,2,80,1,10,0,3,9,7,0,0
118,119,37,Bertahan,Non-Travel,142,Sales,9,4,Medical,1,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,Tidak Lembur,13,3,4,80,1,9,6,3,9,5,7,7
120,121,52,Keluar,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,57,1,5,Manager,4,Married,19845,25846,1,Y,Tidak Lembur,15,3,4,80,1,33,3,3,32,14,6,9
121,122,31,Bertahan,Travel_Rarely,218,Sales,7,3,Technical Degree,1,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,Y,Tidak Lembur,11,3,2,80,1,10,3,2,8,7,7,7
122,123,29,Bertahan,Travel_Rarely,1396,Sales,10,3,Life Sciences,1,3,Male,99,3,1,Sales Representative,3,Single,2642,2755,1,Y,Tidak Lembur,11,3,3,80,0,1,6,3,1,0,0,0
125,126,32,Keluar,Non-Travel,1474,Sales,11,4,Other,1,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,Y,Tidak Lembur,12,3,4,80,0,6,2,3,4,2,1,2
126,127,35,Bertahan,Non-Travel,1097,Research & Development,11,2,Medical,1,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Lembur,13,3,3,80,1,10,3,3,4,0,2,3
127,128,43,Bertahan,Travel_Rarely,920,Research & Development,3,3,Life Sciences,1,3,Male,96,1,5,Research Director,4,Married,19740,18625,3,Y,Tidak Lembur,14,3,2,80,1,25,2,3,8,7,0,7
128,129,33,Bertahan,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,Y,Tidak Lembur,14,3,1,80,0,4,2,4,3,1,0,2
132,133,37,Bertahan,Travel_Rarely,309,Sales,10,4,Life Sciences,1,4,Female,88,2,2,Sales Executive,4,Divorced,6694,24223,2,Y,Lembur,14,3,3,80,3,8,5,3,1,0,0,0
133,134,27,Keluar,Travel_Rarely,135,Research & Development,17,4,Life Sciences,1,4,Female,51,3,1,Research Scientist,3,Single,2394,25681,1,Y,Lembur,13,3,4,80,0,8,2,3,8,2,7,7
134,135,28,Bertahan,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1,Male,67,2,1,Research Scientist,2,Married,3201,19911,0,Y,Tidak Lembur,17,3,1,80,0,6,2,1,5,3,0,4
135,136,27,Bertahan,Travel_Frequently,294,Research & Development,10,2,Life Sciences,1,4,Male,32,3,3,Manufacturing Director,1,Divorced,8793,4809,1,Y,Tidak Lembur,21,4,3,80,2,9,4,2,9,7,1,7
136,137,37,Bertahan,Travel_Rarely,342,Sales,16,4,Marketing,1,4,Male,66,2,2,Sales Executive,3,Divorced,6334,24558,4,Y,Tidak Lembur,19,3,4,80,2,9,2,3,1,0,0,0
137,138,27,Bertahan,Travel_Rarely,199,Research & Development,6,3,Life Sciences,1,4,Male,55,2,1,Research Scientist,3,Married,2539,7950,1,Y,Tidak Lembur,13,3,3,80,1,4,0,3,4,2,2,2
138,139,37,Bertahan,Travel_Frequently,319,Sales,4,4,Marketing,1,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,Y,Tidak Lembur,17,3,3,80,1,13,2,3,9,8,5,8
139,140,31,Bertahan,Travel_Rarely,1062,Research & Development,24,3,Medical,1,3,Female,96,2,2,Healthcare Representative,1,Single,6812,17198,1,Y,Tidak Lembur,19,3,2,80,0,10,2,3,10,9,1,8
140,141,48,Bertahan,Travel_Rarely,715,Research & Development,1,3,Life Sciences,1,4,Male,76,2,5,Research Director,4,Single,18265,8733,6,Y,Tidak Lembur,12,3,3,80,0,25,3,4,1,0,0,0
141,142,36,Bertahan,Travel_Rarely,676,Research & Development,1,3,Other,1,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,0,Y,Tidak Lembur,15,3,1,80,1,10,2,3,9,7,0,5
142,143,37,Bertahan,Travel_Rarely,977,Research & Development,1,3,Life Sciences,1,4,Female,56,2,2,Manufacturing Director,4,Married,6474,9961,1,Y,Tidak Lembur,13,3,2,80,1,14,2,2,14,8,3,11
145,146,38,Bertahan,Travel_Rarely,702,Sales,1,4,Life Sciences,1,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,Y,Tidak Lembur,22,4,3,80,0,12,2,4,8,3,0,7
146,147,32,Bertahan,Travel_Rarely,117,Sales,13,4,Life Sciences,1,2,Male,73,3,2,Sales Executive,4,Divorced,4403,9250,2,Y,Tidak Lembur,11,3,3,80,1,8,3,2,5,2,0,3
148,149,28,Bertahan,Travel_Rarely,857,Research & Development,10,3,Other,1,3,Female,59,3,2,Research Scientist,3,Single,3660,7909,3,Y,Tidak Lembur,13,3,4,80,0,10,4,4,8,7,1,7
149,150,43,Bertahan,Travel_Frequently,957,Research & Development,28,3,Medical,1,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,Tidak Lembur,12,3,4,80,0,18,2,3,3,2,1,2
151,152,30,Bertahan,Travel_Rarely,1465,Research & Development,1,3,Medical,1,4,Male,63,3,1,Research Scientist,2,Married,3579,9369,0,Y,Lembur,21,4,1,80,1,12,2,3,11,9,5,7
152,153,33,Bertahan,Non-Travel,722,Sales,17,3,Life Sciences,1,4,Male,38,3,4,Manager,3,Single,17444,20489,1,Y,Tidak Lembur,11,3,4,80,0,10,2,3,10,8,6,0
153,154,43,Bertahan,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,Y,Tidak Lembur,21,4,3,80,1,4,2,4,1,0,0,0
154,155,42,Bertahan,Travel_Frequently,458,Research & Development,26,5,Medical,1,1,Female,60,3,3,Research Director,1,Married,13191,23281,3,Y,Lembur,17,3,3,80,0,20,6,3,1,0,0,0
155,156,37,Bertahan,Travel_Rarely,921,Research & Development,10,3,Medical,1,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,Y,Tidak Lembur,20,4,2,80,1,17,3,3,5,4,0,3
159,160,24,Bertahan,Travel_Frequently,535,Sales,24,3,Medical,1,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,Y,Tidak Lembur,13,3,3,80,2,3,3,3,2,2,2,1
160,161,37,Bertahan,Non-Travel,1063,Research & Development,25,5,Medical,1,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Lembur,15,3,1,80,2,15,2,3,13,11,10,7
161,162,37,Bertahan,Travel_Rarely,558,Sales,2,3,Marketing,1,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Y,Lembur,11,3,3,80,1,17,3,2,3,0,1,0
162,163,40,Bertahan,Travel_Frequently,1395,Research & Development,26,3,Medical,1,2,Female,54,3,2,Research Scientist,2,Divorced,5605,8504,1,Y,Tidak Lembur,11,3,1,80,1,20,2,3,20,7,2,13
164,165,55,Keluar,Travel_Rarely,436,Sales,2,1,Medical,1,3,Male,37,3,2,Sales Executive,4,Single,5160,21519,4,Y,Tidak Lembur,16,3,3,80,0,12,3,2,9,7,7,3
165,166,34,Bertahan,Travel_Rarely,507,Sales,15,2,Medical,1,3,Female,66,3,2,Sales Executive,1,Single,6125,23553,1,Y,Tidak Lembur,12,3,4,80,0,10,6,4,10,8,9,6
166,167,18,Bertahan,Travel_Rarely,812,Sales,10,3,Medical,1,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,Y,Tidak Lembur,12,3,1,80,0,0,2,3,0,0,0,0
167,168,41,Bertahan,Travel_Rarely,334,Sales,2,4,Life Sciences,1,4,Male,88,3,4,Manager,2,Single,16015,15896,1,Y,Tidak Lembur,19,3,2,80,0,22,2,3,22,10,0,4
168,169,44,Bertahan,Travel_Frequently,383,Sales,1,5,Marketing,1,1,Female,79,3,2,Sales Executive,3,Married,4768,9282,7,Y,Tidak Lembur,12,3,3,80,1,11,4,2,1,0,0,0
169,170,42,Bertahan,Travel_Rarely,691,Sales,8,4,Marketing,1,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,Tidak Lembur,11,3,4,80,1,10,2,3,9,7,4,2
170,171,51,Bertahan,Travel_Rarely,313,Research & Development,3,3,Medical,1,4,Female,98,3,4,Healthcare Representative,2,Single,13734,7192,3,Y,Tidak Lembur,18,3,3,80,0,21,6,3,7,7,1,0
171,172,32,Keluar,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Y,Lembur,14,3,4,80,0,4,2,1,3,2,1,2
173,174,31,Bertahan,Travel_Rarely,688,Sales,7,3,Life Sciences,1,3,Male,44,2,3,Manager,4,Divorced,11557,25291,9,Y,Tidak Lembur,21,4,3,80,1,10,3,2,5,4,0,1
174,175,31,Bertahan,Travel_Frequently,853,Research & Development,1,1,Life Sciences,1,3,Female,96,3,2,Manufacturing Director,1,Married,4148,11275,1,Y,Tidak Lembur,12,3,3,80,1,4,1,3,4,3,0,3
175,176,30,Keluar,Travel_Frequently,109,Research & Development,5,3,Medical,1,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,Y,Tidak Lembur,17,3,1,80,0,4,3,3,3,2,1,2
176,177,36,Bertahan,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,Y,Tidak Lembur,13,3,2,80,1,6,3,3,2,2,2,2
177,178,28,Bertahan,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,1,Male,50,3,1,Laboratory Technician,3,Divorced,2207,22482,1,Y,Tidak Lembur,16,3,4,80,1,4,5,2,4,2,2,2
